CARRIER,DEST,DISTANCE,FL_DATE,ORIGIN,DAY_WEEK,Flight Status,,,,,,
OH,JFK,184,01-01-04,BWI,4,ontime,,,,,,
DH,JFK,213,01-01-04,DCA,4,ontime,,,,,,
DH,LGA,229,01-01-04,IAD,4,ontime,,,,,,
DH,LGA,229,01-01-04,IAD,4,ontime,,,,,,
DH,LGA,229,01-01-04,IAD,4,ontime,,,,,,
DH,JFK,228,01-01-04,IAD,4,ontime,,,,,,
DH,JFK,228,01-01-04,IAD,4,ontime,,,,,,
DH,JFK,228,01-01-04,IAD,4,ontime,,,,,,
DH,JFK,228,01-01-04,IAD,4,ontime,,,,,,
DH,JFK,228,01-01-04,IAD,4,ontime,,,,,,
DH,LGA,229,01-01-04,IAD,4,ontime,,,,,,
DL,JFK,213,01-01-04,DCA,4,ontime,,,,,,
DL,LGA,214,01-01-04,DCA,4,ontime,,,,,,
DL,LGA,214,01-01-04,DCA,4,ontime,,,,,,
DL,LGA,214,01-01-04,DCA,4,ontime,,,,,,
DL,LGA,214,01-01-04,DCA,4,ontime,,,,,,
DL,LGA,214,01-01-04,DCA,4,ontime,,,,,,
MQ,JFK,213,01-01-04,DCA,4,ontime,,,,,,
MQ,JFK,213,01-01-04,DCA,4,ontime,,,,,,
MQ,JFK,213,01-01-04,DCA,4,ontime,,,,,,
MQ,LGA,214,01-01-04,DCA,4,ontime,,,,,,
MQ,LGA,214,01-01-04,DCA,4,ontime,,,,,,
MQ,LGA,214,01-01-04,DCA,4,ontime,,,,,,
MQ,LGA,214,01-01-04,DCA,4,ontime,,,,,,
MQ,LGA,214,01-01-04,DCA,4,ontime,,,,,,
UA,LGA,229,01-01-04,IAD,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
US,LGA,214,01-01-04,DCA,4,ontime,,,,,,
RU,EWR,169,01-01-04,BWI,4,ontime,,,,,,
RU,EWR,169,01-01-04,BWI,4,ontime,,,,,,
RU,EWR,169,01-01-04,BWI,4,ontime,,,,,,
RU,EWR,169,01-01-04,BWI,4,ontime,,,,,,
CO,EWR,199,01-01-04,DCA,4,ontime,,,,,,
CO,EWR,199,01-01-04,DCA,4,ontime,,,,,,
DH,EWR,213,01-01-04,IAD,4,ontime,,,,,,
DH,EWR,213,01-01-04,IAD,4,ontime,,,,,,
DH,EWR,213,01-01-04,IAD,4,ontime,,,,,,
DH,EWR,213,01-01-04,IAD,4,ontime,,,,,,
RU,EWR,213,01-01-04,IAD,4,ontime,,,,,,
RU,EWR,213,01-01-04,IAD,4,ontime,,,,,,
RU,EWR,199,01-01-04,DCA,4,ontime,,,,,,
RU,EWR,199,01-01-04,DCA,4,ontime,,,,,,
RU,EWR,199,01-01-04,DCA,4,ontime,,,,,,
RU,EWR,213,01-01-04,IAD,4,ontime,,,,,,
RU,EWR,213,01-01-04,IAD,4,ontime,,,,,,
RU,EWR,199,01-01-04,DCA,4,ontime,,,,,,
RU,EWR,214,01-01-04,DCA,4,delayed,,,,,,
OH,JFK,184,02-01-04,BWI,5,ontime,,,,,,
DH,JFK,213,02-01-04,DCA,5,ontime,,,,,,
DH,LGA,229,02-01-04,IAD,5,ontime,,,,,,
DH,LGA,229,02-01-04,IAD,5,delayed,,,,,,
DH,LGA,229,02-01-04,IAD,5,ontime,,,,,,
DH,LGA,229,02-01-04,IAD,5,ontime,,,,,,
DH,LGA,229,02-01-04,IAD,5,delayed,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,JFK,228,02-01-04,IAD,5,delayed,,,,,,
DH,JFK,228,02-01-04,IAD,5,ontime,,,,,,
DH,LGA,229,02-01-04,IAD,5,ontime,,,,,,
DL,JFK,213,02-01-04,DCA,5,ontime,,,,,,
DL,LGA,214,02-01-04,DCA,5,ontime,,,,,,
DL,LGA,214,02-01-04,DCA,5,ontime,,,,,,
DL,LGA,214,02-01-04,DCA,5,ontime,,,,,,
DL,LGA,214,02-01-04,DCA,5,ontime,,,,,,
DL,LGA,214,02-01-04,DCA,5,ontime,,,,,,
MQ,JFK,213,02-01-04,DCA,5,ontime,,,,,,
MQ,JFK,213,02-01-04,DCA,5,ontime,,,,,,
MQ,JFK,213,02-01-04,DCA,5,ontime,,,,,,
MQ,LGA,214,02-01-04,DCA,5,ontime,,,,,,
MQ,LGA,214,02-01-04,DCA,5,ontime,,,,,,
MQ,LGA,214,02-01-04,DCA,5,ontime,,,,,,
MQ,LGA,214,02-01-04,DCA,5,ontime,,,,,,
MQ,LGA,214,02-01-04,DCA,5,ontime,,,,,,
UA,LGA,229,02-01-04,IAD,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
US,LGA,214,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,169,02-01-04,BWI,5,ontime,,,,,,
RU,EWR,169,02-01-04,BWI,5,ontime,,,,,,
RU,EWR,169,02-01-04,BWI,5,ontime,,,,,,
RU,EWR,169,02-01-04,BWI,5,ontime,,,,,,
CO,EWR,199,02-01-04,DCA,5,ontime,,,,,,
CO,EWR,199,02-01-04,DCA,5,ontime,,,,,,
CO,EWR,199,02-01-04,DCA,5,ontime,,,,,,
DH,EWR,213,02-01-04,IAD,5,ontime,,,,,,
DH,EWR,213,02-01-04,IAD,5,delayed,,,,,,
DH,EWR,213,02-01-04,IAD,5,delayed,,,,,,
DH,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
RU,EWR,213,02-01-04,IAD,5,delayed,,,,,,
RU,EWR,199,02-01-04,DCA,5,ontime,,,,,,
DH,LGA,229,03-01-04,IAD,6,ontime,,,,,,
DH,LGA,229,03-01-04,IAD,6,ontime,,,,,,
DH,LGA,229,03-01-04,IAD,6,ontime,,,,,,
DH,LGA,229,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,JFK,228,03-01-04,IAD,6,delayed,,,,,,
DH,JFK,228,03-01-04,IAD,6,ontime,,,,,,
DH,LGA,229,03-01-04,IAD,6,ontime,,,,,,
DL,JFK,213,03-01-04,DCA,6,delayed,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
DL,LGA,214,03-01-04,DCA,6,ontime,,,,,,
MQ,JFK,213,03-01-04,DCA,6,delayed,,,,,,
MQ,JFK,213,03-01-04,DCA,6,ontime,,,,,,
MQ,JFK,213,03-01-04,DCA,6,ontime,,,,,,
MQ,LGA,214,03-01-04,DCA,6,ontime,,,,,,
MQ,LGA,214,03-01-04,DCA,6,ontime,,,,,,
UA,LGA,229,03-01-04,IAD,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
US,LGA,214,03-01-04,DCA,6,ontime,,,,,,
RU,EWR,169,03-01-04,BWI,6,ontime,,,,,,
RU,EWR,169,03-01-04,BWI,6,ontime,,,,,,
RU,EWR,169,03-01-04,BWI,6,ontime,,,,,,
RU,EWR,169,03-01-04,BWI,6,ontime,,,,,,
CO,EWR,199,03-01-04,DCA,6,ontime,,,,,,
DH,EWR,213,03-01-04,IAD,6,delayed,,,,,,
DH,EWR,213,03-01-04,IAD,6,ontime,,,,,,
DH,EWR,213,03-01-04,IAD,6,delayed,,,,,,
DH,EWR,213,03-01-04,IAD,6,ontime,,,,,,
DH,EWR,213,03-01-04,IAD,6,ontime,,,,,,
RU,EWR,213,03-01-04,IAD,6,ontime,,,,,,
RU,EWR,199,03-01-04,DCA,6,ontime,,,,,,
RU,EWR,213,03-01-04,IAD,6,ontime,,,,,,
RU,EWR,199,03-01-04,DCA,6,ontime,,,,,,
RU,EWR,199,03-01-04,DCA,6,ontime,,,,,,
RU,EWR,199,03-01-04,DCA,6,ontime,,,,,,
RU,EWR,213,03-01-04,IAD,6,ontime,,,,,,
RU,EWR,199,03-01-04,DCA,6,ontime,,,,,,
OH,JFK,184,04-01-04,BWI,7,delayed,,,,,,
DH,JFK,213,04-01-04,DCA,7,ontime,,,,,,
DH,LGA,229,04-01-04,IAD,7,ontime,,,,,,
DH,LGA,229,04-01-04,IAD,7,delayed,,,,,,
DH,LGA,229,04-01-04,IAD,7,delayed,,,,,,
DH,LGA,229,04-01-04,IAD,7,ontime,,,,,,
DH,LGA,229,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,JFK,228,04-01-04,IAD,7,ontime,,,,,,
DH,LGA,229,04-01-04,IAD,7,ontime,,,,,,
DL,JFK,213,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
DL,LGA,214,04-01-04,DCA,7,ontime,,,,,,
MQ,JFK,213,04-01-04,DCA,7,delayed,,,,,,
MQ,JFK,213,04-01-04,DCA,7,ontime,,,,,,
MQ,JFK,213,04-01-04,DCA,7,ontime,,,,,,
MQ,JFK,213,04-01-04,DCA,7,delayed,,,,,,
MQ,LGA,214,04-01-04,DCA,7,ontime,,,,,,
MQ,LGA,214,04-01-04,DCA,7,delayed,,,,,,
MQ,LGA,214,04-01-04,DCA,7,ontime,,,,,,
MQ,LGA,214,04-01-04,DCA,7,delayed,,,,,,
UA,LGA,229,04-01-04,IAD,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
US,LGA,214,04-01-04,DCA,7,ontime,,,,,,
RU,EWR,169,04-01-04,BWI,7,delayed,,,,,,
RU,EWR,169,04-01-04,BWI,7,delayed,,,,,,
RU,EWR,169,04-01-04,BWI,7,delayed,,,,,,
RU,EWR,169,04-01-04,BWI,7,delayed,,,,,,
CO,EWR,199,04-01-04,DCA,7,ontime,,,,,,
CO,EWR,199,04-01-04,DCA,7,delayed,,,,,,
DH,EWR,213,04-01-04,IAD,7,ontime,,,,,,
DH,EWR,213,04-01-04,IAD,7,delayed,,,,,,
DH,EWR,213,04-01-04,IAD,7,delayed,,,,,,
DH,EWR,213,04-01-04,IAD,7,delayed,,,,,,
DH,EWR,213,04-01-04,IAD,7,delayed,,,,,,
RU,EWR,199,04-01-04,DCA,7,delayed,,,,,,
RU,EWR,199,04-01-04,DCA,7,ontime,,,,,,
RU,EWR,213,04-01-04,IAD,7,ontime,,,,,,
RU,EWR,213,04-01-04,IAD,7,delayed,,,,,,
RU,EWR,199,04-01-04,DCA,7,delayed,,,,,,
RU,EWR,199,04-01-04,DCA,7,delayed,,,,,,
RU,EWR,213,04-01-04,IAD,7,delayed,,,,,,
OH,JFK,184,05-01-04,BWI,1,delayed,,,,,,
DH,JFK,213,05-01-04,DCA,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,ontime,,,,,,
DH,JFK,228,05-01-04,IAD,1,delayed,,,,,,
DH,JFK,228,05-01-04,IAD,1,delayed,,,,,,
DH,JFK,228,05-01-04,IAD,1,ontime,,,,,,
DH,JFK,228,05-01-04,IAD,1,ontime,,,,,,
DH,JFK,228,05-01-04,IAD,1,delayed,,,,,,
DH,JFK,228,05-01-04,IAD,1,delayed,,,,,,
DH,LGA,229,05-01-04,IAD,1,ontime,,,,,,
DL,JFK,213,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
DL,LGA,214,05-01-04,DCA,1,delayed,,,,,,
DL,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,JFK,213,05-01-04,DCA,1,ontime,,,,,,
MQ,JFK,213,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,delayed,,,,,,
MQ,LGA,214,05-01-04,DCA,1,ontime,,,,,,
MQ,LGA,214,05-01-04,DCA,1,delayed,,,,,,
UA,LGA,229,05-01-04,IAD,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,delayed,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
US,LGA,214,05-01-04,DCA,1,ontime,,,,,,
RU,EWR,169,05-01-04,BWI,1,delayed,,,,,,
RU,EWR,169,05-01-04,BWI,1,delayed,,,,,,
RU,EWR,169,05-01-04,BWI,1,delayed,,,,,,
CO,EWR,199,05-01-04,DCA,1,delayed,,,,,,
CO,EWR,199,05-01-04,DCA,1,ontime,,,,,,
CO,EWR,199,05-01-04,DCA,1,delayed,,,,,,
DH,EWR,213,05-01-04,IAD,1,ontime,,,,,,
DH,EWR,213,05-01-04,IAD,1,delayed,,,,,,
DH,EWR,213,05-01-04,IAD,1,delayed,,,,,,
DH,EWR,213,05-01-04,IAD,1,delayed,,,,,,
DH,EWR,213,05-01-04,IAD,1,delayed,,,,,,
DH,EWR,213,05-01-04,IAD,1,ontime,,,,,,
RU,EWR,199,05-01-04,DCA,1,ontime,,,,,,
RU,EWR,199,05-01-04,DCA,1,delayed,,,,,,
RU,EWR,213,05-01-04,IAD,1,delayed,,,,,,
RU,EWR,199,05-01-04,DCA,1,ontime,,,,,,
RU,EWR,213,05-01-04,IAD,1,ontime,,,,,,
RU,EWR,199,05-01-04,DCA,1,delayed,,,,,,
RU,EWR,199,05-01-04,DCA,1,delayed,,,,,,
RU,EWR,213,05-01-04,IAD,1,delayed,,,,,,
RU,EWR,213,05-01-04,IAD,1,ontime,,,,,,
RU,EWR,199,05-01-04,DCA,1,delayed,,,,,,
OH,JFK,184,06-01-04,BWI,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DH,JFK,228,06-01-04,IAD,2,ontime,,,,,,
DH,JFK,228,06-01-04,IAD,2,ontime,,,,,,
DH,JFK,228,06-01-04,IAD,2,ontime,,,,,,
DH,JFK,228,06-01-04,IAD,2,ontime,,,,,,
DH,JFK,228,06-01-04,IAD,2,delayed,,,,,,
DH,JFK,228,06-01-04,IAD,2,delayed,,,,,,
DH,JFK,228,06-01-04,IAD,2,ontime,,,,,,
DH,LGA,229,06-01-04,IAD,2,ontime,,,,,,
DL,JFK,213,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
DL,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,JFK,213,06-01-04,DCA,2,ontime,,,,,,
MQ,JFK,213,06-01-04,DCA,2,ontime,,,,,,
MQ,JFK,213,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,delayed,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
MQ,LGA,214,06-01-04,DCA,2,ontime,,,,,,
UA,LGA,229,06-01-04,IAD,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
US,LGA,214,06-01-04,DCA,2,ontime,,,,,,
